Index,Date,Open,High,Low,Close,Volume,Adj.Close
1,1/1/2018,Filler!,14.08,13.34,13.69,Filler!,13.69
2,2/1/2018,Filler!,14.3,13,13.26,Filler!,13.26
3,3/1/2018,Filler!,13.66,12.68,13.03,Filler!,13.03
4,4/1/2018,Filler!,13.2,11.97,11.97,Filler!,11.97
5,5/1/2018,Filler!,12,11.5,11.83,Filler!,11.83
6,6/1/2018,Filler!,12.57,11.57,11.76,Filler!,11.76
7,7/1/2018,Filler!,11.97,11.09,11.71,Filler!,11.71
8,8/1/2018,Filler!,12.23,11.66,11.7,Filler!,11.7
9,9/1/2018,Filler!,12.41,11.67,12.29,Filler!,12.29
10,10/1/2018,Filler!,12.49,10.68,11.25,Filler!,11.25
11,11/1/2018,Filler!,11.45,10.77,11.45,Filler!,11.45
12,12/1/2018,Filler!,11.63,10.04,10.47,Filler!,10.47
13,1/1/2019,Filler!,11.47,10.77,11.02,Filler!,11.02
